City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazacorte,28.629,-17.9293,20.08,74,0,8.23,ES,1683782506
1,katsuren-haebaru,26.3369,127.8719,26.21,48,20,6.17,JP,1683782507
2,ribeira grande,38.5167,-28.7,15.99,84,26,6.71,PT,1683782507
3,brady,31.1352,-99.3351,21.87,88,100,4.63,US,1683782220
4,jagdalpur,19.0667,82.0333,37.06,21,100,1.84,IN,1683781927
5,mocimboa,-11.3167,40.35,23.62,87,39,2.99,MZ,1683782509
6,tiksi,71.6872,128.8694,-10.02,73,39,12.85,RU,1683782510
7,cooma,-36.2333,149.1333,16.27,40,0,2.8,AU,1683782510
8,edinburgh of the seven seas,-37.0676,-12.3116,14.79,66,100,9.29,SH,1683782511
9,hithadhoo,-0.6,73.0833,28.43,77,99,6.37,MV,1683782511
10,selty,57.3132,52.1345,11.28,68,84,2.47,RU,1683782512
11,qaqortoq,60.7167,-46.0333,1.92,91,100,2.45,GL,1683782513
12,port-aux-francais,-49.35,70.2167,6.62,90,94,12.72,TF,1683782513
13,rexburg,43.826,-111.7897,8.99,61,100,2.06,US,1683782514
14,west island,-12.1568,96.8225,29.99,79,40,9.77,CC,1683782514
15,albany,42.6001,-73.9662,12.18,64,1,1.34,US,1683782407
16,adamstown,-25.066,-130.1015,21.67,61,100,10.36,PN,1683782385
17,keflavik,64.0049,-22.5624,6.95,100,100,4.12,IS,1683782516
18,ca mau,9.1769,105.15,36.15,45,96,0.86,VN,1683782517
19,college,64.8569,-147.8028,15.18,40,75,2.06,US,1683782281
20,alexandria,31.2156,29.9553,20.1,72,99,5.84,EG,1683782441
21,bredasdorp,-34.5322,20.0403,14.18,85,89,4.02,ZA,1683782518
22,khovd,48.0056,91.6419,13.89,44,52,3.39,MN,1683782519
23,saipan,15.1355,145.701,29.8,100,11,5.81,MP,1683782375
24,waitangi,-43.9535,-176.5597,10.46,88,62,3.58,NZ,1683782520
25,lebu,-37.6167,-73.65,11.87,94,77,4.13,CL,1683782521
26,puerto ayora,-0.7393,-90.3518,25.86,97,52,1.34,EC,1683782521
27,ushuaia,-54.8,-68.3,11.81,54,40,4.63,AR,1683782402
28,blackmans bay,-43.0167,147.3167,14.29,63,16,0.99,AU,1683782274
29,olonkinbyen,70.9221,-8.7187,0.34,98,100,6.23,SJ,1683782523
30,invercargill,-46.4,168.35,8.34,95,90,1.34,NZ,1683782524
31,thompson,55.7435,-97.8558,9.09,100,20,3.6,CA,1683782524
32,lerwick,60.1545,-1.1494,8.0,94,47,3.27,GB,1683782525
33,east london,-33.0153,27.9116,18.52,48,0,2.06,ZA,1683782525
34,aasiaat,68.7098,-52.8699,-10.12,91,16,2.97,GL,1683782526
35,bejar,40.3864,-5.7634,9.77,68,73,3.23,ES,1683782156
36,bethel,41.3712,-73.414,12.07,78,0,0.0,US,1683782527
37,linden,6.0,-58.3,22.86,93,93,0.3,GY,1683782114
38,utrik,11.2278,169.8474,27.23,82,95,7.42,MH,1683782528
39,mil'kovo,55.6078,37.7956,14.12,57,69,2.23,RU,1683782529
40,puerto natales,-51.7236,-72.4875,6.2,91,84,2.81,CL,1683782463
41,gisborne,-38.6533,178.0042,12.79,60,87,4.6,NZ,1683782530
42,taixing,32.1667,120.0136,18.3,56,96,2.03,CN,1683782531
43,stanley,54.868,-1.6985,8.73,93,65,1.03,GB,1683782532
44,gornopravdinsk,60.05,69.9,6.11,60,96,4.02,RU,1683782532
45,magadan,59.5667,150.8,4.74,75,20,3.33,RU,1683782533
46,fomeque,4.488,-73.8975,16.42,98,100,0.22,CO,1683782533
47,atafu village,-8.5421,-172.5159,29.3,78,71,7.89,TK,1683782534
48,guardo,42.7897,-4.8482,3.69,88,27,2.54,ES,1683782535
49,porangatu,-13.4408,-49.1486,22.39,60,97,1.42,BR,1683782535
50,ambon,-3.6954,128.1814,30.08,95,40,2.57,ID,1683782536
51,gillette,44.2911,-105.5022,11.14,89,100,9.77,US,1683782408
52,hastings,50.8552,0.5729,9.73,90,46,3.58,GB,1683782537
53,mahmutlar,36.949,36.1923,23.15,43,89,1.24,TR,1683782537
54,grytviken,-54.2811,-36.5092,-2.04,78,24,5.34,GS,1683782538
55,barkot,30.8167,78.2,26.91,22,0,2.18,IN,1683782539
56,codrington,-38.2667,141.9667,17.67,53,2,5.88,AU,1683782539
57,argo,37.6333,22.7333,15.99,77,100,2.45,GR,1683782540
58,tczew,54.0924,18.7779,12.05,72,10,4.07,PL,1683782540
59,sitka,57.0531,-135.33,10.94,62,100,8.75,US,1683782541
60,fale old settlement,-9.3852,-171.2468,29.25,77,7,7.49,TK,1683782542
61,yellowknife,62.456,-114.3525,8.29,53,20,2.06,CA,1683782380
62,sinabang,2.4803,96.3801,29.59,72,100,5.17,ID,1683782543
63,mejit,10.2753,170.8646,27.19,83,98,7.96,MH,1683782543
64,avarua,-21.2078,-159.775,25.03,78,75,6.69,CK,1683782544
65,iskateley,67.6803,53.1512,-0.47,83,61,4.7,RU,1683782544
66,vilyuysk,63.7553,121.6247,2.62,44,100,2.66,RU,1683782545
67,princeville,45.7668,-61.2985,3.51,76,4,3.09,CA,1683782546
68,wailua homesteads,22.0669,-159.378,24.24,85,100,5.66,US,1683782546
69,lihue,21.9789,-159.3672,24.58,87,100,5.66,US,1683782547
70,iqaluit,63.7506,-68.5145,-8.15,79,0,7.72,CA,1683782547
71,copiapo,-27.3667,-70.3333,11.83,61,36,0.86,CL,1683782237
72,bilibino,68.0546,166.4372,4.33,74,92,2.13,RU,1683782548
73,el charco,2.4769,-78.1105,24.27,96,99,1.91,CO,1683782549
74,hermanus,-34.4187,19.2345,13.78,91,84,5.35,ZA,1683782550
75,kodiak,57.79,-152.4072,5.73,93,100,5.66,US,1683782550
76,brookings,44.3114,-96.7984,16.77,86,75,7.2,US,1683782396
77,badger,64.8,-147.5333,15.14,28,75,2.06,US,1683782551
78,smithers,54.7804,-127.1743,14.18,51,100,0.0,CA,1683782385
79,ilulissat,69.2167,-51.1,-1.99,69,100,5.14,GL,1683782552
80,margate,51.3813,1.3862,9.83,88,79,1.34,GB,1683782553
81,khash,28.2211,61.2158,28.31,14,41,2.39,IR,1683782554
82,fortuna,40.5982,-124.1573,12.03,95,100,0.0,US,1683782554
83,ust'-ilimsk,58.0006,102.6619,9.06,34,20,1.65,RU,1683782555
84,longyearbyen,78.2186,15.6401,1.91,80,75,5.14,SJ,1683782555
85,koraput,18.8167,82.7167,33.54,24,100,3.42,IN,1683782556
86,klyuchi,52.2667,79.1667,23.07,40,100,8.45,RU,1683782556
87,talnakh,69.4865,88.3972,-13.77,84,12,5.61,RU,1683782307
88,vadso,70.0744,29.7487,7.09,76,0,5.14,NO,1683782558
89,letlhakane,-21.4167,25.5833,13.08,77,0,3.23,BW,1683782559
90,nahiyat ash shinafiyah,31.5874,44.6602,30.46,17,48,1.26,IQ,1683782559
91,ghat,24.9647,10.1728,19.63,32,60,1.91,LY,1683782560
92,la rioja,42.25,-2.5,4.88,94,22,1.62,ES,1683782561
93,san julian,21.0167,-102.1667,18.91,24,6,4.36,MX,1683782561
94,alofi,-19.0595,-169.9187,25.94,89,10,4.12,NU,1683782562
95,georgetown,5.4112,100.3354,33.96,66,20,3.6,MY,1683782562
96,nantucket,41.2835,-70.0995,13.33,79,0,7.72,US,1683782386
97,lobujya,27.95,86.8167,-6.17,53,0,2.66,NP,1683782564
98,fenghuang,27.9356,109.5996,13.48,89,100,0.99,CN,1683782564
99,swift current,50.2834,-107.8014,12.45,66,0,2.57,CA,1683782565
100,inongo,-1.95,18.2667,21.74,89,67,0.76,CD,1683782565
101,tura,25.5198,90.2201,34.57,33,0,2.73,IN,1683782031
102,hadibu,12.65,54.0333,29.17,61,66,0.8,YE,1683782567
103,live oak,36.9836,-121.9805,12.51,79,0,2.06,US,1683782567
104,nouadhibou,20.931,-17.0347,17.99,94,75,8.23,MR,1683782568
105,cold springs,39.6802,-119.9766,11.32,58,0,5.36,US,1683782569
106,anadyr,64.75,177.4833,4.28,65,0,1.0,RU,1683782569
107,jamestown,42.097,-79.2353,8.8,80,0,3.6,US,1683782570
108,gadzhiyevo,69.2551,33.3362,2.35,99,100,2.24,RU,1683782571
109,tindouf,27.6711,-8.1474,29.44,13,91,2.88,DZ,1683782572
110,chonchi,-42.6128,-73.8092,12.56,98,76,1.05,CL,1683782572
111,karratha,-20.7377,116.8463,28.92,20,22,7.78,AU,1683782573
112,san fernando,15.0286,120.6898,34.85,49,76,2.66,PH,1683782573
113,mount isa,-20.7333,139.5,26.87,18,0,2.57,AU,1683782574
114,hassi messaoud,31.6804,6.0729,21.76,39,7,5.23,DZ,1683782574
115,dudinka,69.4058,86.1778,-13.54,89,52,6.13,RU,1683782575
116,nuuk,64.1835,-51.7216,1.34,100,100,4.12,GL,1683782576
117,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,61,75,4.0,RU,1683782576
118,ghadamis,30.1337,9.5007,18.29,56,0,4.38,LY,1683782577
119,tazovsky,67.4667,78.7,-11.93,88,22,5.23,RU,1683782578
120,calvi,42.5,8.8333,13.35,67,0,5.14,FR,1683782578
121,shingu,33.7333,135.9833,20.73,47,28,2.44,JP,1683782579
122,parras de la fuente,25.4167,-102.1833,21.6,12,0,2.16,MX,1683782579
123,tsiombe,-25.3,45.4833,23.47,73,99,2.13,MG,1683782580
124,machico,32.7,-16.7667,19.35,59,20,8.75,PT,1683782581
125,papatowai,-46.5619,169.4708,9.23,73,92,7.09,NZ,1683782582
126,vila franca do campo,37.7167,-25.4333,16.23,87,60,2.78,PT,1683782583
127,leninskiy,54.2781,37.4558,10.29,64,95,3.03,RU,1683782584
128,suva,-18.1416,178.4415,27.71,78,75,2.57,FJ,1683782357
129,margaret river,-33.95,115.0667,15.86,54,100,2.46,AU,1683782585
130,oum hadjer,13.2954,19.6966,30.49,45,79,2.54,TD,1683782586
131,port elizabeth,-33.918,25.5701,17.95,91,0,8.23,ZA,1683782586
132,punta arenas,-53.15,-70.9167,6.06,87,75,4.63,CL,1683782386
133,gazli,40.1333,63.45,31.99,13,100,1.84,UZ,1683782588
134,udachny,66.4167,112.4,-1.97,35,85,7.41,RU,1683782588
135,dourados,-22.2211,-54.8056,14.6,82,72,2.89,BR,1683782589
136,kerema,-7.9631,145.7785,28.13,85,100,3.43,PG,1683782589
137,uliastay,47.7417,96.8444,11.16,46,100,2.38,MN,1683782473
138,arno,60.1167,18.6333,6.55,60,49,3.95,SE,1683782591
139,cuyo,10.8525,121.0086,29.24,75,93,3.54,PH,1683782591
140,papao,-17.75,-149.55,27.82,87,100,16.02,PF,1683782592
141,bakchar,57.0186,82.0711,11.49,41,100,3.38,RU,1683782593
142,galveston,29.3669,-94.9669,24.47,91,100,6.69,US,1683782593
143,hawaiian paradise park,19.5933,-154.9731,22.8,88,100,0.0,US,1683782594
144,sigli,5.3848,95.9609,30.36,63,97,1.95,ID,1683782594
145,yuzhno-kurilsk,44.0306,145.8556,4.27,77,68,7.6,RU,1683782596
146,port mathurin,-19.6833,63.4167,25.46,74,88,9.1,MU,1683782597
147,aykhal,66.0,111.5,-3.56,75,65,7.57,RU,1683782597
148,fada,9.5667,8.3,21.39,88,61,1.46,NG,1683782598
149,edinburgh,55.9521,-3.1965,9.71,94,20,1.03,GB,1683782358
150,woolgoolga,-30.1106,153.2007,20.58,68,29,4.33,AU,1683782599
151,barah,13.7,30.3667,28.96,23,44,3.81,SD,1683782600
152,mount pearl,47.5166,-52.7813,1.19,90,40,8.75,CA,1683782499
153,port-vila,-17.7338,168.3219,25.78,83,100,5.14,VU,1683782601
154,paphos,34.7667,32.4167,21.88,43,0,2.57,CY,1683782602
155,geraldton,-28.7667,114.6,21.23,35,2,5.66,AU,1683782358
156,choibalsan,48.0667,114.5,21.13,21,100,5.96,MN,1683782603
157,mili,6.0815,171.735,28.31,81,79,8.72,MH,1683782604
158,ust-nera,64.5667,143.2,7.05,60,63,3.21,RU,1683782604
159,whitehorse,60.7161,-135.0538,12.43,35,75,1.54,CA,1683782605
160,la junta,37.985,-103.5438,17.81,82,100,4.63,US,1683782529
161,afaahiti,-17.75,-149.2833,26.93,85,100,14.76,PF,1683782606
162,enewetak,11.3474,162.3373,27.69,82,88,5.97,MH,1683782607
163,mayna,54.1135,47.6231,11.59,54,90,4.63,RU,1683782607
164,hamilton,39.1834,-84.5333,16.43,70,0,0.0,US,1683782306
165,trairi,-3.2778,-39.2689,24.46,89,32,2.36,BR,1683782460
166,bom sucesso,-21.0331,-44.7581,16.22,95,100,0.74,BR,1683782609
167,hasaki,35.7333,140.8333,20.16,43,50,5.42,JP,1683782610
168,launceston,-41.45,147.1667,13.8,74,100,6.69,AU,1683782610
169,opuwo,-18.0607,13.84,17.49,38,27,2.22,NA,1683782611
170,tual,-5.6667,132.75,27.28,82,100,7.3,ID,1683782612
171,la'ie,21.6477,-157.9253,25.0,77,32,0.89,US,1683782612
172,aral,40.5156,81.2636,26.15,6,0,5.74,CN,1683782613
173,susuman,62.7833,148.1667,7.85,54,28,6.08,RU,1683782613
174,nova xavantina,-14.6667,-52.35,20.54,74,87,1.52,BR,1683782614
175,buala,-8.145,159.5921,29.06,78,96,4.12,SB,1683782615
176,rikaze,29.25,88.8833,11.26,14,13,1.5,CN,1683782615
177,kachug,53.9606,105.8817,10.11,40,83,4.97,RU,1683782616
178,marang,5.2056,103.2059,32.95,65,62,2.69,MY,1683782617
179,tagta,41.6504,59.9164,22.97,56,100,3.09,TM,1683782618
180,barnesville,33.0546,-84.1557,20.99,83,100,0.0,US,1683782618
181,bopolu,7.0667,-10.4875,23.25,92,99,1.02,LR,1683782418
182,acapulco de juarez,16.8634,-99.8901,28.9,74,40,3.6,MX,1683782542
183,namtsy,62.7161,129.6658,4.65,45,95,6.25,RU,1683782621
184,la sarre,48.8002,-79.1996,9.92,70,9,2.15,CA,1683782621
185,jinka,5.65,36.65,19.11,79,97,1.78,ET,1683782622
186,luderitz,-26.6481,15.1594,14.43,74,71,5.16,NA,1683782623
187,rongelap,11.1635,166.8941,26.6,86,100,6.43,MH,1683782624
188,zaragoza,41.6561,-0.8773,11.68,69,0,7.2,ES,1683782583
189,ngaoundere,7.3167,13.5833,20.35,85,92,1.7,CM,1683782625
190,sumbawanga,-7.9667,31.6167,14.89,94,75,2.57,TZ,1683782625
191,tofol,5.3248,163.0078,28.91,74,100,2.95,FM,1683782626
192,caleta de carquin,-11.0925,-77.6267,21.28,86,61,3.21,PE,1683782627
193,san andres,12.5847,-81.7006,29.01,74,20,4.12,CO,1683782627
194,saint-philippe,-21.3585,55.7679,26.77,74,74,5.69,RE,1683782628
195,tubarjal,30.4999,38.216,27.28,17,71,8.71,SA,1683782629
196,cao bang,22.6667,106.25,24.07,93,99,1.71,VN,1683782630
197,conduaga,8.862,117.4893,30.93,66,85,2.6,PH,1683782631
198,shatrovo,56.5167,64.6333,13.41,26,58,2.14,RU,1683782631
199,umluj,25.0213,37.2685,27.08,32,0,1.72,SA,1683782632
200,kukawa,12.9234,13.5606,29.44,13,39,3.21,NG,1683782633
201,beyla,8.6833,-8.6333,20.99,90,100,1.51,GN,1683782634
202,freetown,8.484,-13.2299,25.84,83,75,4.63,SL,1683782635
203,le puy-en-velay,45.0437,3.8852,7.27,97,100,1.65,FR,1683782635
204,krasnoshchekovo,51.6708,82.7289,22.33,42,99,2.7,RU,1683782636
205,cobram,-35.9167,145.65,18.04,40,0,2.8,AU,1683782636
206,nar'yan-mar,67.6713,53.087,-0.4,83,61,4.72,RU,1683782637
207,saldanha,-33.0117,17.9442,15.03,85,100,2.07,ZA,1683782638
208,arauquita,7.0292,-71.4281,22.71,99,100,0.31,CO,1683782638
209,pyrzyce,53.1462,14.8926,13.0,74,93,5.14,PL,1683782639
210,lesnoy,57.6198,63.0784,10.46,63,41,4.1,RU,1683782639
211,tamanrasset,22.785,5.5228,20.1,24,99,8.56,DZ,1683782640
212,salahonda,2.1019,-78.7217,26.84,83,100,2.48,CO,1683782641
213,lompoc,34.6391,-120.4579,12.1,83,100,7.6,US,1683782641
214,vorgashor,67.5833,63.95,-6.68,90,71,1.91,RU,1683782642
215,mezhdurechensk,53.6942,88.0603,14.88,35,100,2.04,RU,1683782643
216,namibe,-15.1961,12.1522,22.88,73,4,2.16,AO,1683782643
217,fernie,49.5,-115.0687,7.11,83,98,1.03,CA,1683782644
218,constantia,44.1833,28.65,10.39,63,0,3.79,RO,1683782645
219,kapuskasing,49.4169,-82.4331,7.05,81,75,1.54,CA,1683782461
220,klaksvik,62.2266,-6.589,8.51,85,22,2.86,FO,1683782646
221,murzuq,25.9155,13.9184,16.91,56,0,3.47,LY,1683782647
222,savelugu,9.6244,-0.8253,27.19,69,47,4.8,GH,1683782648
223,myingyan,21.4667,95.3833,38.5,31,30,4.08,MM,1683782648
224,cantaura,9.3057,-64.3584,25.41,63,42,4.91,VE,1683782649
225,cabo san lucas,22.8909,-109.9124,24.23,56,13,5.44,MX,1683782650
226,samana,19.2056,-69.3369,23.91,90,95,2.34,DO,1683782650
227,nemuro,43.3236,145.575,4.41,81,79,6.81,JP,1683782651
228,egersund,58.4513,5.9997,11.16,97,100,1.78,NO,1683782536
229,vyksa,55.3175,42.1744,12.17,54,99,2.62,RU,1683782652
230,blagoveshchensk,50.2667,127.5333,25.34,14,0,2.0,RU,1683782653
231,anyksciai,55.5256,25.1026,10.34,64,19,1.76,LT,1683782654
232,montale,43.9356,11.0171,13.25,94,57,1.29,IT,1683782654
233,sevsk,52.1491,34.4926,8.81,60,47,2.77,RU,1683782655
234,urengoy,65.9667,78.3667,-7.98,74,69,6.9,RU,1683782655
235,la romana,18.4273,-68.9728,24.37,86,3,2.32,DO,1683782656
236,kenai,60.5544,-151.2583,11.05,56,100,7.2,US,1683782657
237,san miguel de salcedo,-1.0333,-78.5667,12.75,99,100,2.58,EC,1683782657
238,terenozek,45.05,64.9833,30.9,15,100,1.59,KZ,1683782658
239,mana,5.6592,-53.7767,23.76,94,100,1.69,GF,1683782659
240,isafjordur,66.0755,-23.124,5.51,90,20,1.69,IS,1683782659
241,flying fish cove,-10.4217,105.6791,27.82,89,100,7.2,CX,1683782660
242,naracoorte,-36.9579,140.7383,18.37,41,3,5.82,AU,1683782660
243,port lincoln,-34.7333,135.8667,18.61,46,100,8.37,AU,1683782661
244,ancud,-41.8697,-73.8203,12.79,97,96,4.82,CL,1683782662
245,tromso,69.6496,18.957,6.88,93,75,2.57,NO,1683782586
246,belyy yar,53.6039,91.3903,12.94,35,0,5.0,RU,1683782663
247,fiambala,-27.6871,-67.6149,15.11,53,1,0.71,AR,1683782664
248,ban karon,7.8477,98.2985,32.95,99,70,1.11,TH,1683782664
249,hatillo,18.4863,-66.8254,25.03,81,3,2.15,PR,1683782665
250,masterton,-40.9597,175.6575,8.27,89,100,3.73,NZ,1683782665
251,beidao,34.5686,105.8933,21.46,25,93,3.17,CN,1683782666
252,viedma,-40.8135,-62.9967,10.11,69,100,5.29,AR,1683782667
253,laojunmiao,39.8333,97.7333,15.85,14,31,6.65,CN,1683782667
254,holly,42.792,-83.6277,13.99,76,2,0.45,US,1683782623
255,bengkulu,-3.8004,102.2655,30.32,65,29,4.11,ID,1683782669
256,dayr hafir,36.1569,37.7078,24.34,30,93,2.14,SY,1683782669
257,burutu,5.3509,5.5076,26.38,88,95,2.02,NG,1683782670
258,twentynine palms,34.1356,-116.0542,20.63,34,0,1.34,US,1683782670
259,mata-utu,-13.2816,-176.1745,28.72,76,12,5.83,WF,1683782671
260,fuglafjordur,62.244,-6.814,8.26,87,29,3.02,FO,1683782672
261,mount gambier,-37.8333,140.7667,17.51,50,5,4.54,AU,1683782672
262,inirida,3.8653,-67.9239,21.98,99,100,0.85,CO,1683782673
263,bereznik,62.8551,42.7072,12.68,60,68,2.32,RU,1683782673
264,banda aceh,5.5577,95.3222,30.86,62,93,2.03,ID,1683782674
265,tughyl,47.7252,84.2063,17.56,42,100,4.79,KZ,1683782674
266,sakiai,54.9547,23.0358,9.61,71,12,2.66,LT,1683782675
267,makubetsu,45.3714,141.8211,7.84,61,75,6.17,JP,1683782676
268,uturoa,-16.7333,-151.4333,26.94,80,89,11.0,PF,1683782676
269,andergrove,-21.0833,149.1833,26.47,70,26,6.11,AU,1683782677
270,fengxiang,47.5833,130.8333,21.32,15,60,2.09,CN,1683782677
271,pasuquin,18.3328,120.6177,32.97,58,20,4.12,PH,1683782595
272,haiku-pauwela,20.9219,-156.3051,22.25,86,40,7.72,US,1683782679
273,mitsamiouli,-11.3847,43.2844,27.04,69,2,1.64,KM,1683782679
274,chibougamau,49.9168,-74.3659,8.79,57,0,2.57,CA,1683782680
275,happy valley-goose bay,53.3168,-60.3315,-0.83,64,75,2.06,CA,1683782680
276,ugoofaaru,5.6667,73.0,28.39,78,100,4.78,MV,1683782475
277,barcelos,41.5388,-8.6151,11.58,87,61,2.97,PT,1683782681
278,pakruojis,55.9667,23.8667,12.44,66,67,2.38,LT,1683782682
